,Department,GEO,Role,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,left_Company,promotion_last_5years,salary,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),EMP_Sat_Remote_Mean,EMP_Engagement_Mean
1829,Warehouse,France,Level 2-4,0.4,0.5,6,165,3,0,0,medium,24,2,2,1,1,1768,87,9,2.4,4.2
1830,Operations,UK,Level 2-4,0.4,0.5,4,259,3,0,0,low,33,2,1,1,2,3245,75,6,2.4,4.2
1831,Sales,Korea,Level 2-4,0.4,0.5,3,139,10,0,0,low,26,2,1,1,1,1163,61,6,2.4,4.2
1832,Finance,Japan,Level 2-4,0.4,0.5,2,162,2,0,0,high,50,1,2,2,1,1193,74,7,2.4,4.2
1833,Human Resources,Turkey,Level 2-4,0.4,0.5,4,178,2,0,0,low,39,1,1,1,2,1990,89,8,2.4,4.2
1834,IT,Australia,Level 2-4,0.4,0.5,5,272,3,0,0,low,34,1,1,2,1,2993,78,7,2.4,4.2
1835,Warehouse,Australia,Level 2-4,0.4,0.5,2,230,4,0,0,medium,21,1,1,2,2,3737,75,10,2.4,4.2
1836,Operations,China,Level 2-4,0.4,0.5,5,142,4,0,0,medium,22,2,1,1,1,1140,89,9,2.4,4.2
1837,Sales,Japan,Level 2-4,0.4,0.5,4,253,10,0,1,high,52,4,5,5,5,3753,76,6,2.4,4.2
1838,Finance,UK,Level 2-4,0.4,0.5,2,153,3,1,0,low,19,1,2,2,1,1775,65,7,2.4,1.8
1839,Human Resources,Turkey,Level 2-4,0.4,0.5,2,132,3,1,0,low,61,2,1,2,1,1876,61,7,2.4,1.8
1840,IT,Turkey,Level 2-4,0.4,0.5,2,126,3,1,0,low,11,1,2,1,1,1592,73,10,2.4,1.8
1841,Warehouse,UK,Level 2-4,0.4,0.5,2,135,3,1,0,medium,54,1,1,2,1,6883,75,9,2.4,1.8
1842,Operations,UK,Level 2-4,0.4,0.5,2,130,3,1,0,low,13,1,2,1,1,1688,72,6,2.4,1.8
1843,Sales,Colombia,Level 2-4,0.4,0.5,2,148,3,1,0,medium,64,2,2,1,2,7412,62,8,2.4,1.8
1844,Finance,Australia,Level 2-4,0.4,0.5,2,132,3,1,0,low,40,2,2,2,1,1303,74,6,2.4,1.8
1845,Human Resources,Australia,Level 2-4,0.4,0.5,2,147,3,1,0,low,4,2,2,2,1,1908,74,7,2.4,1.8
1846,IT,Colombia,Level 2-4,0.4,0.5,2,136,3,1,0,low,58,1,2,1,1,1061,64,6,2.4,1.8
1847,Warehouse,UK,Level 2-4,0.4,0.5,2,135,5,1,0,low,38,2,1,1,2,1174,63,10,2.4,1.8
1848,Operations,Colombia,Level 2-4,0.4,0.5,2,140,3,1,0,medium,3,2,1,1,1,8041,75,6,2.4,1.8
1849,Sales,Colombia,Level 2-4,0.4,0.5,2,135,3,1,0,low,43,1,1,1,1,1200,65,6,2.4,1.8
1850,Finance,France,Level 2-4,0.4,0.5,2,153,3,1,0,low,23,2,2,2,2,1378,73,7,2.4,1.8
1851,Human Resources,Australia,Level 2-4,0.4,0.5,2,128,3,1,0,low,48,1,1,2,1,1620,65,9,2.4,1.8
1852,IT,Turkey,Level 2-4,0.4,0.5,4,294,3,1,0,low,29,2,2,1,1,1251,89,8,2.4,1.8
1853,Warehouse,UK,Level 2-4,0.4,0.5,2,135,3,1,0,low,10,1,2,2,2,1548,71,10,2.4,1.8
1854,Operations,France,Level 2-4,0.4,0.5,2,128,3,1,0,low,36,1,1,2,2,1246,71,8,2.4,1.8
1855,Sales,France,Level 2-4,0.4,0.5,2,139,3,1,0,medium,7,2,1,2,1,6143,69,7,2.4,1.8
1856,Finance,Turkey,Level 2-4,0.4,0.5,2,142,3,1,0,medium,10,2,1,2,2,7625,69,6,2.4,1.8
1857,Human Resources,Australia,Level 2-4,0.4,0.5,2,141,3,1,0,low,49,1,1,1,2,1938,63,7,2.4,1.8
1858,IT,UK,Level 2-4,0.4,0.5,2,157,3,1,0,medium,7,1,1,2,2,6977,69,10,2.4,1.8
1859,Warehouse,Japan,Level 2-4,0.4,0.5,4,254,4,1,0,low,55,2,2,2,2,1866,90,8,2.4,1.8
1860,Operations,France,Level 2-4,0.4,0.5,2,137,3,1,0,medium,59,2,2,1,1,7886,67,6,2.4,1.8
1861,Sales,Turkey,Level 2-4,0.4,0.5,2,141,3,1,0,low,25,1,2,2,2,1782,70,9,2.4,1.8
1862,Finance,UK,Level 2-4,0.4,0.5,2,140,3,1,0,low,28,1,1,1,2,1474,72,6,2.4,1.8
1863,Human Resources,UK,Level 2-4,0.4,0.5,2,151,3,1,0,medium,21,2,2,1,1,7039,69,8,2.4,1.8
1864,IT,France,Level 2-4,0.4,0.5,2,156,3,1,0,medium,16,1,1,1,1,6113,74,9,2.4,1.8
1865,Warehouse,UK,Level 2-4,0.4,0.5,2,130,3,1,0,medium,18,2,2,1,2,6233,75,6,2.4,1.8
1866,Operations,Australia,Level 2-4,0.4,0.5,2,157,3,1,0,low,52,1,2,2,1,1431,60,8,2.4,1.8
1867,Sales,Turkey,Level 2-4,0.4,0.5,2,147,3,1,0,low,7,1,1,2,1,1058,72,9,2.4,1.8
1868,Finance,Australia,Level 2-4,0.4,0.5,2,132,3,1,0,low,39,1,1,2,2,1031,68,8,2.4,1.8
1869,Human Resources,China,Level 2-4,0.4,0.5,2,127,3,1,0,low,23,1,2,2,2,1448,66,10,2.4,1.8
1870,IT,Australia,Level 2-4,0.4,0.5,2,152,3,1,0,high,22,2,2,2,2,1160,62,7,2.4,1.8
1871,Warehouse,US,Level 2-4,0.4,0.5,4,156,2,0,0,medium,61,1,2,2,2,1888,86,6,2.4,4.2
1872,Operations,China,Level 2-4,0.4,0.5,3,196,3,0,0,medium,35,2,2,1,2,2663,87,7,2.4,4.2
1873,Sales,US,Level 2-4,0.4,0.5,4,164,2,0,0,low,60,1,1,2,2,1859,89,8,2.4,4.2
1874,Finance,Japan,Level 2-4,0.4,0.5,3,141,3,0,0,medium,23,1,2,2,2,1634,68,6,2.4,4.2
1875,Human Resources,Korea,Level 2-4,0.4,0.5,4,130,3,0,0,medium,10,2,1,1,1,1633,85,8,2.4,4.2
1876,IT,Japan,Level 2-4,0.4,0.5,3,137,5,0,0,low,18,1,2,1,2,1956,75,9,2.4,4.2
1877,Warehouse,China,Level 2-4,0.4,0.5,3,216,3,0,0,low,15,2,1,1,2,2307,79,10,2.4,4.2
1878,Operations,Colombia,Level 2-4,0.4,0.5,4,269,3,0,0,medium,37,2,1,2,1,3379,75,7,2.4,4.2
1879,Sales,Turkey,Level 2-4,0.4,0.5,4,282,4,0,0,low,48,1,1,2,1,3368,79,10,2.4,4.2
1880,Finance,Australia,Level 2-4,0.4,0.5,5,247,4,0,0,medium,40,1,2,2,2,3400,78,10,2.4,4.2
1881,Human Resources,US,Level 2-4,0.4,0.5,6,165,3,0,0,medium,1,2,2,2,2,1775,85,6,2.4,4.2
1882,IT,US,Level 2-4,0.4,0.5,4,259,3,0,0,low,57,1,1,1,2,3490,77,7,2.4,4.2
1883,Warehouse,China,Level 2-4,0.4,0.5,3,139,10,0,0,low,28,1,2,1,1,1943,69,10,2.4,4.2
1884,Operations,Korea,Level 2-4,0.4,0.5,2,162,2,0,0,high,62,2,1,1,2,1317,67,8,2.4,4.2
1885,Sales,US,Level 2-4,0.4,0.5,4,178,2,0,0,low,15,2,2,1,2,1493,89,9,2.4,4.2
1886,Finance,Colombia,Level 2-4,0.4,0.5,5,272,3,0,0,low,24,2,2,1,1,3344,77,9,2.4,4.2
1887,Human Resources,UK,Level 2-4,0.4,0.5,2,230,4,0,0,medium,61,1,2,2,1,3172,79,7,2.4,4.2
1888,IT,Japan,Level 1,0.4,0.5,5,142,4,0,0,medium,9,1,1,2,2,1269,89,6,2.4,4.2
1889,Warehouse,China,Level 1,0.4,0.5,4,253,10,0,1,high,32,4,2,5,5,2324,75,10,2.4,4.2
1890,Operations,Colombia,Level 1,0.4,0.5,2,153,3,1,0,low,49,2,2,1,1,1168,61,8,2.4,1.8
1891,Sales,Turkey,Level 1,0.4,0.5,2,132,3,1,0,low,25,2,1,1,1,1062,65,9,2.4,1.8
1892,Finance,Japan,Level 1,0.4,0.5,2,126,3,1,0,low,44,1,2,2,2,1553,69,8,2.4,1.8
1893,Human Resources,France,Level 1,0.4,0.5,2,135,3,1,0,medium,34,1,1,1,2,7885,73,6,2.4,1.8
1894,IT,Turkey,Level 1,0.4,0.5,2,130,3,1,0,low,35,1,1,1,1,1692,68,8,2.4,1.8
1895,Warehouse,US,Level 1,0.4,0.5,2,148,3,1,0,medium,9,2,1,2,1,7106,65,8,2.4,1.8
1896,Operations,Japan,Level 1,0.4,0.5,2,132,3,1,0,low,10,2,1,2,2,1840,75,9,2.4,1.8
1897,Sales,France,Level 1,0.4,0.5,2,147,3,1,0,low,42,1,2,1,1,1658,60,8,2.4,1.8
1898,Finance,Turkey,Level 1,0.4,0.5,2,136,3,1,0,low,48,2,1,1,2,1860,66,10,2.4,1.8
1899,Human Resources,Colombia,Level 1,0.4,0.5,2,135,5,1,0,low,44,2,1,2,2,1825,64,10,2.4,1.8
1900,IT,Colombia,Level 1,0.4,0.5,2,140,3,1,0,medium,7,2,2,1,1,7718,67,6,2.4,1.8
1901,Warehouse,Japan,Level 1,0.4,0.5,2,135,3,1,0,low,55,2,1,2,1,1273,63,8,2.4,1.8
1902,Operations,Japan,Level 1,0.4,0.5,2,153,3,1,0,low,13,2,2,1,1,1072,60,8,2.4,1.8
1903,Sales,Australia,Level 1,0.4,0.5,2,128,3,1,0,low,27,2,1,1,1,1820,65,9,2.4,1.8
1904,Finance,US,Level 1,0.4,0.5,4,294,3,1,0,low,49,2,2,2,2,1950,90,6,2.4,1.8
1905,Human Resources,UK,Level 1,0.4,0.5,2,135,3,1,0,low,49,2,1,2,1,1091,72,9,2.4,1.8
1906,IT,Australia,Level 1,0.4,0.5,2,128,3,1,0,low,38,2,1,2,1,1398,72,10,2.4,1.8
1907,Warehouse,Japan,Level 1,0.4,0.5,2,139,3,1,0,medium,61,1,1,1,1,6010,66,6,2.4,1.8
1908,Operations,Australia,Level 1,0.4,0.5,2,142,3,1,0,medium,60,2,1,1,2,7271,66,8,2.4,1.8
1909,Sales,China,Level 1,0.4,0.5,2,141,3,1,0,low,46,2,1,2,2,1240,71,6,2.4,1.8
1910,Finance,UK,Level 1,0.4,0.5,2,157,3,1,0,medium,17,1,2,2,1,6067,62,6,2.4,1.8
1911,Human Resources,Korea,Level 1,0.4,0.5,4,254,4,1,0,low,27,2,1,2,2,1393,90,9,2.4,1.8
1912,IT,China,Level 1,0.4,0.5,2,137,3,1,0,medium,8,2,2,1,1,6471,66,6,2.4,1.8
1913,Warehouse,Turkey,Level 1,0.4,0.5,2,141,3,1,0,low,46,1,2,1,2,1238,64,6,2.4,1.8
1914,Operations,Colombia,Level 1,0.4,0.5,2,140,3,1,0,low,40,1,2,2,1,1095,74,7,2.4,1.8
1915,Sales,China,Level 1,0.4,0.5,2,151,3,1,0,medium,10,1,1,1,1,6429,60,7,2.4,1.8
1916,Finance,China,Level 1,0.4,0.5,2,156,3,1,0,medium,11,2,1,2,2,6547,69,6,2.4,1.8
1917,Human Resources,US,Level 1,0.4,0.5,2,130,3,1,0,medium,19,1,1,1,1,6014,72,10,2.4,1.8
1918,IT,China,VP,0.4,0.5,2,154,3,1,0,medium,18,2,2,1,1,6280,61,9,2.4,1.8
1919,Warehouse,China,Senior Director,0.4,0.5,2,148,3,1,0,low,16,2,2,1,1,1812,62,7,2.4,1.8
1920,Operations,UK,Senior Director,0.4,0.5,5,135,6,1,0,low,34,1,2,1,2,1427,85,6,2.4,1.8
1921,Sales,Turkey,Senior Director,0.4,0.51,2,160,3,1,1,low,39,5,2,1,1,1519,73,10,2.4,1.8
1922,Finance,Australia,Director,0.4,0.51,2,145,3,1,0,low,33,2,2,1,2,1534,70,6,2.4,1.8
1923,Human Resources,France,Director,0.4,0.51,2,155,3,1,0,low,7,2,1,1,2,1691,65,8,2.4,1.8
1924,IT,Korea,Director,0.4,0.51,2,138,3,1,0,low,20,1,2,1,2,1085,70,10,2.4,1.8
1925,Warehouse,Turkey,Director,0.4,0.51,2,147,3,1,0,low,8,1,2,2,2,1143,75,6,2.4,1.8
1926,Operations,Colombia,Director,0.4,0.51,2,127,3,1,0,medium,56,2,2,1,2,8335,74,10,2.4,1.8
1927,Sales,Korea,Director,0.4,0.51,2,156,3,1,0,high,41,1,2,2,2,1859,62,8,2.4,1.8
1928,Finance,China,Senior Manager,0.4,0.51,2,155,3,1,0,low,1,1,1,2,1,1114,72,9,2.4,1.8
1929,Human Resources,US,Senior Manager,0.4,0.51,2,153,3,1,0,low,21,2,1,2,2,1706,74,7,2.4,1.8
1930,IT,France,Senior Manager,0.4,0.51,2,127,3,1,0,medium,53,1,1,1,2,6418,66,7,2.4,1.8
1931,Warehouse,China,Senior Manager,0.4,0.51,2,146,3,1,0,medium,38,1,1,2,1,6177,74,7,2.4,1.8
1932,Operations,France,Senior Manager,0.4,0.51,2,140,3,1,0,medium,43,1,1,1,1,8268,65,10,2.4,1.8
1933,Sales,China,Senior Manager,0.4,0.51,2,135,3,1,0,low,28,2,1,1,1,1810,62,9,2.4,1.8
1934,Finance,Colombia,Senior Manager,0.4,0.51,2,159,3,1,0,medium,65,2,2,1,1,6228,73,6,2.4,1.8
1935,Human Resources,US,Senior Manager,0.4,0.51,2,136,3,1,0,medium,60,2,1,1,1,7843,72,7,2.4,1.8
1936,IT,Australia,Senior Manager,0.4,0.51,2,150,3,1,0,low,22,2,2,1,2,1016,68,6,2.4,1.8
1937,Warehouse,Australia,Senior Manager,0.4,0.51,2,151,3,1,0,medium,8,2,2,1,1,7203,61,8,2.4,1.8
1938,Operations,France,Senior Manager,0.4,0.51,2,155,3,1,0,medium,30,2,1,1,2,6439,73,8,2.4,1.8
1939,Sales,Japan,Senior Manager,0.4,0.51,2,129,3,1,0,low,35,1,2,1,1,1520,61,10,2.4,1.8
1940,Finance,Japan,Manager,0.4,0.51,2,136,3,1,0,medium,2,2,2,1,1,7330,74,8,2.4,1.8
1941,Human Resources,Japan,Manager,0.4,0.51,2,134,3,1,0,medium,37,2,2,1,1,7669,66,7,2.4,1.8
1942,IT,France,Manager,0.4,0.51,2,145,3,1,0,low,20,2,1,2,1,1296,63,9,2.4,1.8
1943,Warehouse,Japan,Manager,0.4,0.51,2,139,3,1,0,low,35,1,1,1,1,1690,72,7,2.4,1.8
1944,Operations,Korea,Manager,0.4,0.51,2,141,3,1,0,low,30,1,2,2,2,1323,68,6,2.4,1.8
1945,Sales,Turkey,Manager,0.4,0.51,2,132,3,1,0,medium,42,2,2,1,1,7031,65,9,2.4,1.8
1946,Finance,Turkey,Manager,0.4,0.51,2,144,3,1,0,low,53,2,2,1,1,1550,72,8,2.4,1.8
1947,Human Resources,France,Manager,0.4,0.51,2,130,3,1,0,low,8,1,1,1,2,1860,71,10,2.4,1.8
1948,IT,UK,Manager,0.4,0.51,2,138,3,1,0,low,30,2,1,2,1,1857,69,9,2.4,1.8
1949,Warehouse,US,Manager,0.4,0.51,2,146,3,1,0,medium,31,1,1,1,1,8381,60,8,2.4,1.8
1950,Operations,Turkey,Manager,0.4,0.51,2,128,3,1,0,medium,44,1,1,2,1,6815,66,8,2.4,1.8
1951,Sales,France,Manager,0.4,0.51,2,127,3,1,0,medium,23,2,1,1,1,6443,73,10,2.4,1.8
1952,Finance,China,Manager,0.4,0.51,2,137,3,1,0,medium,57,2,2,1,2,8308,64,8,2.4,1.8
1953,Human Resources,Colombia,Manager,0.4,0.51,2,140,3,1,0,low,59,2,2,1,2,1134,61,7,2.4,1.8
1954,IT,China,Manager,0.4,0.51,2,132,3,1,0,medium,23,1,2,2,1,7506,75,10,2.4,1.8
1955,Warehouse,UK,Manager,0.4,0.51,2,140,3,1,0,medium,44,2,1,2,2,7091,73,9,2.4,1.8
1956,Operations,Australia,Manager,0.4,0.51,2,136,3,1,0,low,7,2,2,2,1,1428,72,9,2.4,1.8
1957,Sales,Korea,Manager,0.4,0.51,2,155,3,1,0,low,54,2,1,1,2,1162,70,6,2.4,1.8
1958,Finance,Japan,Manager,0.4,0.51,2,156,3,1,0,medium,7,2,1,1,1,6007,65,9,2.4,1.8
1959,Human Resources,Korea,Manager,0.4,0.51,2,155,3,1,0,low,59,1,1,1,1,1340,67,9,2.4,1.8
1960,IT,UK,Manager,0.4,0.51,2,129,3,1,0,medium,43,1,1,1,1,7619,67,9,2.4,1.8
1961,Warehouse,China,Manager,0.4,0.51,2,132,3,1,0,medium,40,2,2,1,2,7633,68,7,2.4,1.8
1962,Operations,US,Level 2-4,0.4,0.51,2,143,3,1,0,low,56,1,2,2,1,1891,74,8,2.4,1.8
1963,Sales,UK,Level 2-4,0.4,0.51,2,139,3,1,0,low,62,2,2,2,2,1987,69,10,2.4,1.8
1964,Finance,Korea,Level 2-4,0.4,0.51,2,127,3,1,0,medium,60,1,1,1,1,7830,68,6,2.4,1.8
1965,Human Resources,Turkey,Level 2-4,0.4,0.51,2,156,3,1,0,medium,55,2,2,1,1,7192,66,9,2.4,1.8
1966,IT,Korea,Level 2-4,0.4,0.51,2,155,3,1,0,low,22,1,2,2,2,1387,64,9,2.4,1.8
1967,Warehouse,Colombia,Level 2-4,0.4,0.51,2,155,3,1,0,medium,21,2,1,1,1,6090,72,10,2.4,1.8
1968,Operations,France,Level 2-4,0.4,0.51,2,160,3,1,0,medium,47,1,2,2,2,8301,67,9,2.4,1.8
1969,Sales,Australia,Level 2-4,0.4,0.51,2,129,3,1,0,low,1,1,1,1,1,1186,67,10,2.4,1.8
1970,Finance,Japan,Level 2-4,0.4,0.51,2,144,3,1,0,low,65,2,1,2,2,1158,62,6,2.4,1.8
1971,Human Resources,US,Level 2-4,0.4,0.51,2,145,3,1,0,low,44,1,1,1,2,1420,66,9,2.4,1.8
1972,IT,UK,Level 2-4,0.4,0.51,2,138,3,1,0,low,29,2,1,1,1,1505,62,9,2.4,1.8
1973,Warehouse,Australia,Level 2-4,0.4,0.51,2,159,3,1,0,medium,57,1,2,1,1,7314,64,8,2.4,1.8
1974,Operations,France,Level 2-4,0.4,0.51,2,141,3,1,0,low,52,2,1,1,1,1842,75,10,2.4,1.8
1975,Sales,Colombia,Level 2-4,0.4,0.51,2,131,3,1,0,medium,26,2,1,1,1,8390,74,6,2.4,1.8
1976,Finance,Turkey,Level 2-4,0.4,0.51,2,157,3,1,0,medium,46,2,1,2,2,6437,74,10,2.4,1.8
1977,Human Resources,France,Level 2-4,0.4,0.51,2,137,3,1,0,low,49,1,2,1,2,1973,66,10,2.4,1.8
1978,IT,Korea,Level 2-4,0.4,0.51,2,144,3,1,0,low,25,1,1,1,1,1200,65,10,2.4,1.8
1979,Warehouse,China,Level 2-4,0.4,0.51,2,149,3,1,0,low,60,1,1,1,1,1826,68,8,2.4,1.8
1980,Operations,Korea,Level 2-4,0.4,0.51,2,135,3,1,0,medium,41,1,1,1,2,8398,62,8,2.4,1.8
1981,Sales,Australia,Level 2-4,0.4,0.51,2,149,3,1,0,medium,64,2,1,2,1,8344,64,10,2.4,1.8
1982,Finance,US,Level 2-4,0.4,0.51,2,156,3,1,0,medium,10,1,1,2,1,6282,62,10,2.4,1.8
1983,Human Resources,Japan,Level 2-4,0.4,0.51,2,143,3,1,0,medium,10,1,2,1,1,6897,69,9,2.4,1.8
1984,IT,UK,Level 2-4,0.4,0.51,2,159,3,1,0,low,20,1,2,1,1,1889,65,10,2.4,1.8
1985,Warehouse,Turkey,Level 2-4,0.4,0.51,2,137,3,1,0,low,6,2,1,1,1,1756,66,6,2.4,1.8
1986,Operations,Turkey,Level 2-4,0.4,0.51,2,152,3,1,0,medium,22,1,2,1,1,6753,69,8,2.4,1.8
1987,Sales,Australia,Level 2-4,0.4,0.51,2,159,3,1,0,low,2,1,2,2,1,1778,73,8,2.4,1.8
1988,Finance,Australia,Level 2-4,0.4,0.51,2,154,3,1,0,low,3,2,1,1,2,1121,64,6,2.4,1.8
1989,Human Resources,UK,Level 2-4,0.4,0.51,2,130,3,1,0,low,35,2,2,1,2,1751,62,6,2.4,1.8
1990,IT,US,Level 2-4,0.4,0.51,2,137,3,1,0,low,34,2,2,2,2,1665,67,9,2.4,1.8
1991,Warehouse,UK,Level 2-4,0.4,0.51,2,128,3,1,0,low,31,2,2,1,1,1514,73,10,2.4,1.8
1992,Operations,China,Level 2-4,0.4,0.51,2,148,3,1,0,low,52,2,2,1,2,1303,73,9,2.4,1.8
1993,Sales,France,Level 2-4,0.4,0.51,2,152,2,0,0,medium,39,1,2,2,2,1397,72,6,2.4,4.2
1994,Finance,Turkey,Level 2-4,0.4,0.51,5,182,3,0,0,low,20,2,1,2,2,2761,87,7,2.4,4.2
1995,Human Resources,UK,Level 2-4,0.4,0.51,4,237,2,0,0,low,54,2,2,2,2,3102,76,10,2.4,4.2
1996,IT,Turkey,Level 2-4,0.4,0.51,4,138,4,0,0,medium,53,1,1,1,2,1788,90,7,2.4,4.2
1997,Warehouse,UK,Level 2-4,0.4,0.51,3,234,3,0,0,low,46,1,1,2,1,2727,76,6,2.4,4.2
1998,Operations,Turkey,Level 2-4,0.4,0.51,3,190,3,0,0,low,56,2,1,1,1,3935,85,9,2.4,4.2
1999,Sales,Japan,Level 2-4,0.4,0.51,3,160,2,0,0,low,35,1,1,1,1,1670,71,6,2.4,4.2
2000,Finance,Japan,Level 2-4,0.4,0.51,5,173,4,0,0,medium,60,2,1,2,2,1257,85,10,2.4,4.2
2001,Human Resources,Korea,Level 2-4,0.4,0.51,3,160,3,0,0,medium,51,1,1,2,1,1257,75,9,2.4,4.2
2002,IT,Colombia,Level 2-4,0.4,0.51,6,141,2,0,0,low,46,1,2,1,2,1062,90,10,2.4,4.2
2003,Warehouse,Australia,Level 2-4,0.4,0.51,3,235,2,0,0,low,23,2,1,2,2,3802,76,8,2.4,4.2
2004,Operations,France,Level 2-4,0.4,0.51,6,248,5,0,0,low,65,2,2,2,2,2554,80,10,2.4,4.2
2005,Sales,Australia,Level 2-4,0.4,0.51,3,156,3,0,0,medium,5,1,1,1,1,1724,61,9,2.4,4.2
2006,Finance,France,Level 2-4,0.4,0.51,4,204,2,0,0,low,25,1,1,1,1,2205,79,8,2.4,4.2
2007,Human Resources,Korea,Level 2-4,0.4,0.51,4,281,3,0,0,low,28,1,1,1,2,3543,77,9,2.4,4.2
2008,IT,US,Level 2-4,0.4,0.51,4,139,3,0,0,low,27,2,1,2,2,1625,90,10,2.4,4.2
2009,Warehouse,US,Level 2-4,0.4,0.51,3,248,4,0,0,low,1,1,2,2,2,2498,79,10,2.4,4.2
2010,Operations,US,Level 2-4,0.4,0.51,2,117,4,0,0,low,36,1,1,1,2,1971,62,9,2.4,4.2
2011,Sales,Colombia,Level 2-4,0.4,0.51,3,259,3,0,0,medium,40,1,2,2,2,2349,78,9,2.4,4.2
2012,Finance,Korea,Level 2-4,0.4,0.51,4,176,4,0,0,low,13,2,2,1,1,1845,88,10,2.4,4.2
2013,Human Resources,UK,Level 2-4,0.4,0.51,4,157,3,0,0,low,12,2,1,1,2,1629,85,10,2.4,4.2
2014,IT,France,Level 2-4,0.4,0.51,4,185,2,0,0,low,54,1,1,1,2,3626,90,10,2.4,4.2
2015,Warehouse,Colombia,Level 2-4,0.4,0.51,3,213,4,0,0,low,13,2,1,1,2,3469,77,9,2.4,4.2
2016,Operations,Colombia,Level 2-4,0.4,0.51,5,226,3,0,0,medium,46,2,1,2,2,2139,76,6,2.4,4.2
2017,Sales,Turkey,Level 2-4,0.4,0.51,4,164,3,0,0,medium,50,1,1,1,1,1547,85,6,2.4,4.2
2018,Finance,France,Level 2-4,0.4,0.51,4,224,2,0,0,low,18,1,2,2,1,2575,77,7,2.4,4.2
2019,Human Resources,Turkey,Level 2-4,0.4,0.51,4,278,3,0,0,medium,15,2,1,2,1,3474,76,6,2.4,4.2
2020,IT,US,Level 2-4,0.4,0.51,4,232,3,0,0,low,4,2,1,1,1,3446,80,6,2.4,4.2
2021,Warehouse,US,Level 2-4,0.4,0.51,4,242,3,0,0,medium,49,2,2,2,1,2797,78,7,2.4,4.2
2022,Operations,UK,Level 2-4,0.4,0.51,4,157,3,0,0,medium,21,2,2,1,2,1211,85,6,2.4,4.2
2023,Sales,Colombia,Level 2-4,0.4,0.51,5,143,4,0,0,medium,38,1,2,1,2,1951,90,8,2.4,4.2
2024,Finance,Japan,Level 2-4,0.4,0.51,4,155,3,0,0,low,18,1,2,1,1,1419,88,6,2.4,4.2
2025,Human Resources,Australia,Level 1,0.4,0.51,4,259,3,0,0,medium,10,1,2,1,2,2828,76,9,2.4,4.2
2026,IT,Australia,Level 1,0.4,0.51,4,173,2,0,0,low,56,2,2,1,1,1984,89,9,2.4,4.2
2027,Warehouse,Korea,Level 1,0.4,0.51,4,211,2,0,0,low,28,2,2,2,2,3367,76,8,2.4,4.2
2028,Operations,US,Level 1,0.4,0.51,3,254,2,0,0,low,35,1,2,2,1,2600,77,8,2.4,4.2
2029,Sales,US,Level 1,0.4,0.51,4,152,3,0,0,low,55,1,2,1,1,1601,85,9,2.4,4.2
2030,Finance,France,Level 1,0.4,0.51,4,152,3,0,0,low,57,2,2,1,1,1083,88,10,2.4,4.2
2031,Human Resources,US,Level 1,0.4,0.51,4,214,2,0,0,low,27,2,1,2,2,3100,76,10,2.4,4.2
2032,IT,Australia,Level 1,0.4,0.51,4,133,3,0,0,low,45,1,1,2,2,1135,85,6,2.4,4.2
2033,Warehouse,Colombia,Level 1,0.4,0.51,4,131,2,0,0,medium,57,1,2,2,1,1438,88,6,2.4,4.2
2034,Operations,China,Level 1,0.4,0.51,3,146,2,0,0,low,41,2,1,1,1,1748,68,6,2.4,4.2
2035,Sales,France,Level 1,0.4,0.51,4,207,2,0,0,low,23,1,2,2,2,3169,76,7,2.4,4.2
2036,Finance,US,Level 1,0.4,0.51,3,141,2,0,0,low,34,1,1,2,1,1139,61,8,2.4,4.2
2037,Human Resources,Colombia,Level 1,0.4,0.51,2,196,3,0,0,low,46,2,2,1,2,2561,86,8,2.4,4.2
2038,IT,France,Level 1,0.4,0.51,5,238,2,0,0,low,32,2,2,1,1,3896,75,6,2.4,4.2
2039,Warehouse,Turkey,Level 1,0.4,0.51,3,157,3,0,0,medium,51,1,2,2,1,1389,70,9,2.4,4.2
2040,Operations,France,Level 1,0.4,0.51,3,262,6,0,0,low,58,2,1,1,1,3287,78,10,2.4,4.2
2041,Sales,UK,Level 1,0.4,0.51,3,153,4,0,0,medium,14,1,1,1,1,1203,61,8,2.4,4.2
2042,Finance,Australia,Level 1,0.4,0.51,3,222,3,0,0,medium,21,2,1,2,1,2899,77,8,2.4,4.2
2043,Human Resources,Colombia,Level 1,0.4,0.51,5,238,4,0,0,medium,39,2,2,2,1,2994,80,7,2.4,4.2
2044,IT,US,Level 1,0.4,0.51,4,253,6,0,0,medium,55,1,1,2,1,3907,76,8,2.4,4.2
2045,Warehouse,Korea,Level 1,0.4,0.51,4,246,3,0,0,medium,51,2,1,2,2,2603,80,7,2.4,4.2
2046,Operations,Colombia,Level 1,0.4,0.51,4,233,3,0,0,low,24,2,1,1,2,2087,79,7,2.4,4.2
2047,Sales,US,Level 1,0.4,0.51,3,261,4,0,1,medium,48,5,1,2,2,3531,79,7,2.4,4.2
2048,Finance,Turkey,Level 1,0.4,0.51,2,211,2,0,0,medium,15,2,1,1,2,2929,79,6,2.4,4.2
2049,Human Resources,Korea,Level 1,0.4,0.51,5,214,3,0,0,low,51,2,1,2,1,3080,76,6,2.4,4.2
